,Stag,Event,Gender,Age,Industry,Profession,Traffic,Coach,Head_gender,Greywage,Way,Extraversion,Independ,Selfcontrol,Anxiety,Novator,Wayencoded
count,1129.0,1129.0,1129.0,1129.0,1129.0,1129.0,1129.0,1129.0,1129.0,1129.0,1129.0,1129.0,1129.0,1129.0,1129.0,1129.0,1129.0
mean,36.62752558551993,0.5057573073516386,0.24446412754650132,31.066964564331265,8.614703277236492,6.560673162090345,4.178919397697077,0.8387953941541186,0.5172719220549159,0.887511071744907,0.5004428697962799,5.5923826395039855,5.4780336581045175,5.597254207263065,5.66563330380868,5.879627989371126,0.5004428697962799
std,34.09659697145454,0.5001884197304647,0.42995948679052914,6.996147222887078,4.232954546101318,2.5141609376111824,2.2526301179476276,0.6077664912793644,0.49992304152413863,0.31610706355735535,0.6765118205979688,1.85163682876956,1.703312176674186,1.980100803375185,1.7091759482722322,1.904015783185674,0.6765118205979688
min,0.394250513,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.7,1.0,0.0
25%,11.72895277,0.0,0.0,26.0,5.0,6.0,2.0,0.0,0.0,1.0,0.0,4.6,4.1,4.1,4.8,4.4,0.0
50%,24.3449692,1.0,0.0,30.0,10.0,6.0,4.0,1.0,1.0,1.0,0.0,5.4,5.5,5.7,5.6,6.0,0.0
75%,51.31827515,1.0,0.0,36.0,12.0,6.0,7.0,1.0,1.0,1.0,1.0,7.0,6.9,7.2,7.1,7.5,1.0
max,179.449692,1.0,1.0,58.0,15.0,14.0,7.0,2.0,1.0,1.0,2.0,10.0,10.0,10.0,10.0,10.0,2.0
var,1162.5779250338026,0.25018845523245953,0.1848651602811752,48.94607596431058,17.91790418935982,6.32100522020994,5.074342448284742,0.3693801079220298,0.24992304744674565,0.0999236756308539,0.45766824340877826,3.428558945655793,2.9012723712065536,3.920799191527053,2.9212824221522844,3.6252761026201563,0.45766824340877826
skew,1.489673599322919,-0.02306140715601798,1.1907603396473445,0.6608649965358298,-0.28200939572794137,0.9017912781793974,-0.07573632724602508,0.09586261794250167,-0.06922094708994903,-2.4561220074953445,1.0051880603109788,0.011899086330011169,-0.013715036242863094,0.034673189015918704,0.15126559430185382,-0.2461110479211652,1.0051880603109788
kurt,2.040804686303102,-2.00301962557203,-0.5831259515561804,0.06904816475807296,-1.1949016318618833,2.0831794250948272,-1.2487777726240432,-0.42195128084284006,-1.9987523551634379,4.039688409948665,-0.22122180760010135,-0.3875962779743505,-0.33168770264212055,-0.6214716370429114,-0.4713461878974132,-0.4697563652445953,-0.22122180760010135
